request_time,wait_time,pick_index,drop_index,order_distance,order_fare,detour_ratio
68460,420,546,2086,1747.0,6.5,1.0
68460,420,253,2662,1323.0,4.93,0.25
68460,300,743,3788,2154.0,8.02,0.75
68460,420,2938,3491,1027.0,3.82,1.0
68461,480,3678,3002,1714.0,6.38,0.25
68461,420,493,4169,1001.0,3.73,0.5
68462,420,1259,564,2653.0,9.88,1.0
68462,240,2610,3497,1171.0,4.36,0.25
68462,420,3733,3403,5911.0,22.01,0.5
68463,420,765,24,2052.0,7.64,1.0
68464,360,1643,4016,4173.0,15.54,1.0
68465,360,3580,518,4799.0,17.87,0.25
68465,360,2924,566,1434.0,5.34,0.25
68465,300,2259,2481,5696.0,21.21,1.0
68465,240,1543,3304,2164.0,8.06,1.0
68466,180,3018,1716,2058.0,7.66,0.75
68466,480,3304,2159,3138.0,11.68,0.5
68466,240,2191,274,3811.0,14.19,0.75
68466,300,1521,220,1529.0,5.69,0.25
68466,420,3254,1452,2564.0,9.55,1.0
68466,300,21,4437,2414.0,8.99,0.25
68467,420,2188,4326,2286.0,8.51,1.0
68467,480,1510,2754,1370.0,5.1,1.0
68468,480,2336,234,2263.0,8.43,0.25
68468,360,881,247,1553.0,5.78,1.0
68469,360,181,4218,4139.0,15.41,0.5
68469,360,4116,2193,1505.0,5.6,0.5
68469,300,3185,3319,2010.0,7.48,0.5
68469,360,3687,1088,1773.0,6.6,0.25
68469,480,3390,2535,3672.0,13.67,0.5
68470,480,1010,4350,3561.0,13.26,0.75
68471,420,1257,3474,2962.0,11.03,0.75
68471,180,2197,3620,3898.0,14.51,1.0
68472,240,3219,3491,4750.0,17.69,0.75
68472,300,790,3393,7402.0,27.56,0.75
68472,420,3307,1050,3164.0,11.78,1.0
68472,180,4393,3365,3888.0,14.48,0.75
68473,480,1709,1402,1361.0,5.07,0.25
68473,480,4345,3717,2715.0,10.11,1.0
68473,360,1515,1966,3249.0,12.1,1.0
68473,180,2927,2116,1886.0,7.02,0.75
68473,180,4073,1074,2152.0,8.01,0.75
68474,420,2139,1754,3899.0,14.52,0.25
68474,300,2651,3242,4544.0,16.92,0.25
68474,180,3275,4406,7629.0,28.41,0.75
68475,180,2835,878,2155.0,8.02,0.75
68475,180,544,3273,2465.0,9.18,0.25
68476,420,1479,475,4294.0,15.99,0.5
68476,300,119,573,7073.0,26.34,0.75
68476,360,260,2848,2788.0,10.38,0.75
68476,240,3443,1497,2099.0,7.82,1.0
68476,420,608,2996,1378.0,5.13,0.25
68476,300,1450,687,2811.0,10.47,0.5
68477,300,176,113,2100.0,7.82,0.25
68477,240,2174,3396,2265.0,8.43,1.0
68477,480,3599,136,1945.0,7.24,0.5
68477,360,4204,2792,11621.0,43.27,0.25
68477,240,2838,1808,4099.0,15.26,0.75
68477,420,4128,1400,1751.0,6.52,1.0
68477,480,13,2173,3301.0,12.29,1.0
68478,420,1982,4420,2939.0,10.94,0.5
68478,180,4116,525,3243.0,12.07,0.75
68478,240,1019,407,4565.0,17.0,0.25
68479,180,3764,4448,4532.0,16.87,1.0
68479,480,3567,1260,2335.0,8.69,0.25
68480,180,3284,1676,1472.0,5.48,0.25
68480,420,2152,3505,1262.0,4.7,0.75
68480,420,565,3543,4944.0,18.41,0.5
68480,360,2189,1006,2530.0,9.42,0.75
68481,180,2118,1614,1758.0,6.55,0.75
68481,300,1684,1301,5480.0,20.4,0.75
68481,240,4361,3257,4143.0,15.43,0.25
68482,360,3378,2374,5012.0,18.66,0.5
68483,360,1107,2469,1772.0,6.6,0.75
68483,360,1475,3522,3526.0,13.13,0.25
68484,180,3308,3901,3952.0,14.71,0.25
68485,240,3488,570,2596.0,9.67,0.75
68485,360,825,228,1766.0,6.58,1.0
68485,240,2687,3620,2431.0,9.05,1.0
68485,360,2375,787,2188.0,8.15,0.75
68486,420,2360,493,6858.0,25.53,1.0
68486,240,4128,3269,1952.0,7.27,0.5
68486,420,731,4119,1134.0,4.22,0.25
68487,180,1720,666,7826.0,29.14,0.5
68487,480,528,2321,4128.0,15.37,1.0
68487,360,3257,1339,1412.0,5.26,0.75
68487,240,347,1109,2408.0,8.97,0.5
68487,480,2942,2490,1366.0,5.09,0.25
68487,240,1734,2116,2194.0,8.17,0.75
68488,300,1714,1705,3732.0,13.9,0.5
68489,300,3593,3295,7823.0,29.13,1.0
68490,360,589,3730,3556.0,13.24,0.25
68490,360,3327,4140,3497.0,13.02,1.0
68490,480,1476,1454,1281.0,4.77,1.0
68490,360,4307,4447,2768.0,10.31,1.0
68491,300,424,370,10231.0,38.09,1.0
68491,180,244,1463,1313.0,4.89,0.25
68491,360,546,1723,2046.0,7.62,0.5
68491,300,1631,4326,4642.0,17.28,0.5
68491,480,1062,2451,1603.0,5.97,0.25
68491,300,2357,1464,1783.0,6.64,0.5
68492,420,2566,3645,3337.0,12.42,0.5
68493,300,635,1335,2356.0,8.77,1.0
68493,480,4342,269,2037.0,7.58,0.5
68493,300,1236,47,2078.0,7.74,0.25
68493,240,4303,3585,4700.0,17.5,0.5
68493,420,1461,464,3820.0,14.22,0.75
68494,480,642,1171,1528.0,5.69,0.5
68494,300,26,473,2476.0,9.22,0.5
68495,180,740,1112,2206.0,8.21,1.0
68495,300,380,3879,1490.0,5.55,1.0
68495,360,3803,24,3714.0,13.83,0.25
68495,180,1455,2556,5858.0,21.81,1.0
68495,360,1278,2973,3286.0,12.23,0.25
68496,300,4451,2471,3616.0,13.46,0.5
68497,420,3621,1520,4495.0,16.74,0.75
68497,300,1727,2482,5556.0,20.69,0.25
68498,240,1415,1570,3915.0,14.58,0.75
68498,360,1515,1116,2911.0,10.84,0.75
68499,480,3577,234,5466.0,20.35,0.25
68499,360,2535,1679,1072.0,3.99,0.25
68499,240,238,2563,4979.0,18.54,0.5
68500,180,733,4428,10579.0,39.39,0.25
68501,240,181,3758,2013.0,7.5,0.5
68501,180,1997,676,1548.0,5.76,0.5
68502,420,1316,1208,3939.0,14.67,0.75
68502,180,2307,1078,1394.0,5.19,0.5
68503,300,4329,1203,2622.0,9.76,0.5
68503,300,1301,474,9652.0,35.94,0.5
68503,480,876,1790,2313.0,8.61,1.0
68504,180,4261,1214,2392.0,8.91,0.5
68504,360,2210,1378,2119.0,7.89,1.0
68505,300,3425,3275,2136.0,7.95,0.75
68507,300,2650,1019,4072.0,15.16,0.75
68507,360,241,3711,4791.0,17.84,0.25
68507,360,1431,4547,1866.0,6.95,1.0
68508,360,1618,1423,2240.0,8.34,0.25
68508,180,1063,2200,3250.0,12.1,0.75
68508,180,1789,2907,10547.0,39.27,0.75
68508,360,3200,3687,2600.0,9.68,0.75
68508,420,291,1038,5578.0,20.77,0.25
68508,300,3402,607,2833.0,10.55,0.5
68509,360,857,4378,3045.0,11.34,0.75
68509,180,411,2663,3546.0,13.2,1.0
68509,240,1578,1452,2588.0,9.64,1.0
68509,180,1305,2454,1102.0,4.1,0.75
68510,420,646,3326,3518.0,13.1,0.5
68510,420,902,2323,2091.0,7.79,0.5
68510,240,4342,2459,1216.0,4.53,0.5
68510,420,1797,1372,2232.0,8.31,0.25
68510,420,3971,2628,4678.0,17.42,0.75
68511,360,3541,3003,1945.0,7.24,1.0
68511,300,577,1110,1983.0,7.38,1.0
68512,180,4205,2529,8100.0,30.16,0.5
68513,180,2246,2184,3922.0,14.6,1.0
68513,180,1379,4393,2580.0,9.61,0.25
68513,360,3480,770,5514.0,20.53,0.75
68514,420,1213,3204,3332.0,12.41,0.5
68514,180,24,1538,1683.0,6.27,0.25
68514,300,1345,1963,4571.0,17.02,0.25
68514,300,198,3726,1759.0,6.55,0.25
68515,360,964,1703,3200.0,11.91,0.75
68515,240,1739,4567,2982.0,11.1,1.0
68515,180,1320,2332,2851.0,10.62,0.75
68516,180,1042,448,1210.0,4.51,1.0
68517,420,2658,258,2035.0,7.58,0.75
68518,180,1883,900,2982.0,11.1,1.0
68520,480,3796,3322,1995.0,7.43,1.0
68520,360,2456,1338,1276.0,4.75,0.25
68520,480,2394,3685,3457.0,12.87,0.25
68521,360,2115,3487,2759.0,10.27,0.75
